Geneid,CHD1fem1,CHD1fem2,CHD1male1,CHD1male2,OREfem1,OREfem2,OREmale1,OREmale2
FBgn0262467,69,30,114,40,138,106,185,185
FBgn0262473,518,358,1135,425,1357,960,2106,1798
FBgn0262475,209,127,332,139,486,331,590,514
FBgn0262476,719,409,1879,772,2166,1470,3904,3397
FBgn0262477,241,148,647,222,1123,1016,1435,1445
FBgn0262478,18,4,22,6,43,25,51,60
FBgn0262479,0,0,0,0,0,0,0,0
FBgn0262480,0,0,0,0,0,0,1,0
FBgn0262481,6,6,6,0,4,10,7,12
FBgn0262482,10,10,37,4,50,25,51,50
FBgn0262483,2012,1088,4202,1351,4348,3253,7400,6425
FBgn0262484,4,2,21,8,14,6,8,17
FBgn0262485,0,0,0,0,0,0,0,0
FBgn0262486,0,0,0,0,0,0,0,0
FBgn0262487,0,0,0,0,1,2,0,2
FBgn0262508,3534,1814,6399,2690,7110,5121,11071,9175
FBgn0262509,1514,766,2666,1146,3834,3129,4521,4476
FBgn0262510,0,0,0,0,0,0,1,0
FBgn0262512,114,74,269,88,382,190,389,383
FBgn0262513,2,0,6,2,12,4,2,9
FBgn0262514,0,0,0,0,0,0,2,0
FBgn0262515,941,511,1899,869,1830,1493,2894,2420
FBgn0262516,0,0,0,1,2,0,1,0
FBgn0262517,468,258,841,294,917,799,1270,1082
FBgn0262518,174,103,394,165,480,315,630,619
FBgn0262519,763,522,1464,636,1724,1645,2700,2279
FBgn0262524,6,3,15,12,23,11,16,9
FBgn0262527,1062,625,1864,704,2142,1684,3188,2656
FBgn0262528,0,0,0,0,0,0,0,0
FBgn0262529,0,0,0,0,0,0,0,0
FBgn0262530,0,0,0,0,0,0,0,2
FBgn0262531,12,30,29,8,29,22,28,26
FBgn0262532,0,0,1,0,6,4,4,6
FBgn0262533,0,0,0,0,2,2,0,0
FBgn0262534,2,4,18,6,8,8,7,12
FBgn0262535,4,0,8,2,8,10,6,2
FBgn0262536,0,0,0,0,0,0,0,0
FBgn0262537,34,16,52,21,132,100,164,154
FBgn0262538,55,39,130,46,192,91,271,173
FBgn0262539,17,22,45,36,68,71,97,106
FBgn0262540,6,4,22,10,20,25,30,49
FBgn0262541,12,6,50,17,47,52,69,74
FBgn0262542,0,0,0,0,0,0,0,0
FBgn0262543,13,6,17,4,28,12,26,30
FBgn0262544,0,0,2,0,0,0,0,0
FBgn0262546,0,0,0,0,0,0,0,0
FBgn0262547,2,0,9,0,11,6,6,4
FBgn0262559,1114,728,2383,779,3659,2758,4693,3763
FBgn0262560,16,16,30,10,80,23,56,48
FBgn0262562,816,440,1710,620,1580,1141,2503,2101
FBgn0262563,8,24,60,25,127,64,93,95
FBgn0262564,0,0,0,1,0,0,0,0
FBgn0262565,4,0,2,4,0,1,0,0
FBgn0262566,0,0,0,1,0,0,0,2
FBgn0262567,0,0,1,0,0,0,0,0
FBgn0262568,10,2,9,4,4,12,22,28
FBgn0262569,0,1,2,4,0,0,0,0
FBgn0262570,12,14,14,4,66,68,36,26
FBgn0262571,15,12,48,18,29,40,52,60
FBgn0262572,0,0,2,0,0,0,2,8
FBgn0262574,55,26,118,20,114,92,68,76
FBgn0262575,0,2,2,0,2,10,2,0
FBgn0262576,2,0,6,0,12,2,2,6
FBgn0262577,2,0,0,2,22,31,33,14
FBgn0262579,3878,1968,7623,2862,5760,4270,10191,8166
FBgn0262580,0,0,0,0,0,0,2,0
FBgn0262581,0,0,0,0,0,0,0,0
FBgn0262582,2698,1430,4482,1618,5913,4156,8195,7026
FBgn0262583,4,4,7,4,23,12,20,16
FBgn0262587,0,0,0,0,0,2,0,0
FBgn0262588,0,0,0,0,0,0,0,0
FBgn0262592,0,0,0,0,0,0,0,0
FBgn0262593,2747,1450,5051,1887,6235,4890,9488,8144
FBgn0262594,0,0,0,0,0,0,0,0
FBgn0262595,0,0,0,2,0,3,3,0
FBgn0262598,2,0,8,2,10,2,28,15
FBgn0262599,22,10,70,29,17,26,40,40
FBgn0262601,18,22,39,38,77,50,115,85
FBgn0262604,0,2,14,4,22,17,28,23
FBgn0262605,0,0,0,0,1,2,0,0
FBgn0262606,2,0,0,0,0,0,0,0
FBgn0262607,0,0,0,4,0,2,0,4
FBgn0262608,0,0,0,0,0,0,0,0
FBgn0262609,0,0,0,0,0,0,0,0
FBgn0262610,0,0,0,0,0,2,0,0
FBgn0262611,0,0,4,2,0,0,0,2
FBgn0262612,0,0,0,0,0,2,0,0
FBgn0262613,0,0,0,0,0,0,0,0
FBgn0262614,3680,1893,6139,2213,8359,6401,10332,8455
FBgn0262616,0,2,0,0,0,0,0,0
FBgn0262617,926,442,1673,592,1966,1394,3061,2435
FBgn0262619,7,4,30,8,25,14,56,35
FBgn0262620,2,0,0,0,6,4,2,2
FBgn0262621,0,0,0,0,2,0,0,4
FBgn0262622,0,0,0,0,4,4,0,2
FBgn0262623,0,0,2,0,0,0,0,0
FBgn0262624,2,2,4,2,8,14,21,22
FBgn0262631,6,2,16,12,40,28,30,30
FBgn0262636,610,291,1362,438,1306,1089,2061,1723
FBgn0262647,53,52,155,66,172,130,227,199
FBgn0262656,371,223,507,196,1601,890,1216,1131
FBgn0262679,12,12,14,14,16,20,22,14
FBgn0262680,0,0,0,0,0,2,0,4
FBgn0262681,0,2,4,0,20,6,11,24
FBgn0262682,0,0,6,8,0,0,0,2
FBgn0262683,0,0,0,0,8,2,0,2
FBgn0262685,3,6,4,2,12,2,4,11
FBgn0262686,0,0,0,0,1,2,2,4
FBgn0262687,0,0,0,0,0,2,0,6
FBgn0262688,0,0,0,0,0,0,0,0
FBgn0262689,0,0,0,0,0,0,2,0
FBgn0262690,0,0,0,0,4,6,4,0
FBgn0262699,252,125,549,232,748,557,1033,885
FBgn0262714,196,145,403,152,398,301,695,555
FBgn0262716,143,108,264,102,280,190,419,360
FBgn0262717,88,62,241,80,173,89,224,150
FBgn0262719,287,129,360,158,446,501,629,566
FBgn0262721,3,1,6,2,24,23,45,31
FBgn0262722,4,0,4,0,0,0,0,3
FBgn0262728,748,393,1528,749,2252,1684,4432,3605
FBgn0262730,1586,811,3278,1405,3426,2971,5676,4784
FBgn0262731,4,9,28,7,27,17,25,38
FBgn0262732,241,118,428,165,822,1147,988,839
FBgn0262733,179,111,379,149,503,338,552,513
FBgn0262734,420,292,768,304,952,772,955,1025
FBgn0262736,3635,1916,7352,3573,9182,6061,11205,10184
FBgn0262737,3401,1738,7853,3096,8698,6730,11226,10870
FBgn0262738,5158,3272,9559,4402,22663,15235,27994,25719
FBgn0262739,2240,1192,4702,1869,5455,4377,7858,7174
FBgn0262740,524,312,1187,474,1253,969,1929,1802
FBgn0262741,19,6,78,26,47,36,85,59
FBgn0262743,793,471,1864,734,2280,1644,3377,3130
FBgn0262782,1105,693,1839,869,3922,4040,3505,2845
FBgn0262786,0,0,0,0,0,0,0,0
FBgn0262787,0,0,0,0,0,1,0,0
FBgn0262788,1,0,7,2,12,12,3,9
FBgn0262789,19,11,56,14,64,67,119,84
FBgn0262790,0,0,0,0,0,0,0,0
FBgn0262791,0,0,0,0,0,0,0,0
FBgn0262794,2,4,3,2,2,6,3,7
FBgn0262795,0,0,2,0,0,0,0,1
FBgn0262801,47,39,100,34,96,93,150,113
FBgn0262806,0,2,10,2,6,2,16,11
FBgn0262807,0,0,0,0,0,0,0,0
FBgn0262808,6,5,27,8,24,5,17,19
FBgn0262810,0,0,0,0,0,0,0,0
FBgn0262811,0,0,0,0,0,0,1,0
FBgn0262812,0,0,2,0,0,0,8,0
FBgn0262813,0,0,0,0,2,0,5,2
FBgn0262814,0,0,0,0,0,0,0,0
FBgn0262815,0,0,0,0,0,2,0,1
FBgn0262816,0,0,2,0,0,0,0,0
FBgn0262817,3,5,11,6,16,16,22,27
FBgn0262819,0,0,0,0,0,0,0,0
FBgn0262820,1,0,16,2,52,52,90,82
FBgn0262821,19,0,46,8,69,36,38,46
FBgn0262822,10,4,24,10,19,9,17,19
FBgn0262823,0,0,0,0,0,0,0,0
FBgn0262824,0,0,0,0,0,0,0,0
FBgn0262825,12,2,7,2,24,14,11,18
FBgn0262827,0,0,2,0,0,0,4,1
FBgn0262828,40,20,60,28,42,20,93,66
FBgn0262836,0,0,0,0,0,0,0,0
FBgn0262837,0,0,0,0,0,0,0,0
FBgn0262838,4,11,10,2,46,18,177,261
FBgn0262839,0,0,0,0,0,0,0,0
FBgn0262840,3,0,5,4,0,0,6,4
FBgn0262842,4,2,4,2,6,2,4,13
FBgn0262843,0,0,0,0,0,0,2,0
FBgn0262844,0,0,0,0,0,0,0,0
FBgn0262845,0,0,0,0,0,0,0,0
FBgn0262846,0,0,0,0,0,0,0,0
FBgn0262847,2,0,4,0,0,0,8,0
FBgn0262848,0,0,0,0,4,2,3,10
FBgn0262849,0,0,0,0,0,0,0,0
FBgn0262850,0,0,0,0,0,0,0,0
FBgn0262851,0,0,0,0,0,0,0,0
FBgn0262852,0,0,0,0,0,0,0,0
FBgn0262853,0,0,0,0,0,0,0,0
FBgn0262854,8,4,7,13,27,18,28,33
FBgn0262855,45,36,149,35,103,48,162,152
FBgn0262856,0,0,0,0,0,0,0,0
FBgn0262857,0,0,0,0,0,0,0,0
FBgn0262858,6,1,20,8,20,12,26,20
FBgn0262866,258,139,495,232,529,474,831,767
FBgn0262867,114,56,278,85,182,219,407,306
FBgn0262869,967,495,2178,776,1925,1598,3000,2741
FBgn0262870,950,498,1975,789,972,700,1997,1697
FBgn0262871,411,255,916,371,802,541,1262,1081
FBgn0262872,1523,855,3043,1168,2961,2146,4414,3977
FBgn0262873,0,2,4,0,4,2,0,4
FBgn0262874,0,0,2,0,0,0,0,0
FBgn0262875,0,0,0,0,0,0,0,0
FBgn0262876,12,7,28,13,27,29,38,48
FBgn0262877,2,2,4,0,9,4,7,8
FBgn0262878,0,0,4,0,4,0,2,0
FBgn0262879,0,2,0,0,4,0,5,0
FBgn0262880,2,0,0,0,3,4,2,0
FBgn0262881,6,2,8,8,2,2,0,0
FBgn0262882,0,0,0,0,1,0,0,2
FBgn0262883,0,0,2,2,0,0,0,2
FBgn0262885,0,0,0,0,0,0,0,0
FBgn0262886,3,0,22,2,14,23,23,21
FBgn0262887,2,10,16,14,28,22,28,19
FBgn0262888,2,0,5,1,2,0,5,6
FBgn0262889,0,0,2,0,2,0,0,0
FBgn0262890,2,2,4,0,0,0,0,0
FBgn0262891,0,0,0,0,0,0,0,0
FBgn0262892,0,0,2,0,0,0,2,0
FBgn0262893,0,0,2,0,6,2,2,4
FBgn0262894,0,0,0,0,0,0,0,0
FBgn0262895,0,0,0,0,0,0,4,0
FBgn0262896,1,0,2,0,6,0,2,6
FBgn0262897,0,0,4,0,2,0,0,4
FBgn0262898,2,4,4,6,7,0,2,2
FBgn0262899,0,0,0,0,0,0,0,0
FBgn0262900,59,28,86,35,166,152,197,135
FBgn0262901,14,10,30,2,25,23,27,42
FBgn0262902,0,0,5,2,4,0,9,2
FBgn0262903,0,0,0,0,0,0,0,0
FBgn0262904,5,6,21,6,8,16,13,24
FBgn0262905,0,0,0,0,2,0,2,5
FBgn0262937,73,40,152,44,158,158,216,174
FBgn0262943,0,0,0,0,0,0,1,0
FBgn0262944,0,0,0,0,0,2,0,0
FBgn0262945,8,2,19,4,12,4,14,9
FBgn0262947,4,0,4,0,0,1,1,6
FBgn0262948,2,2,8,0,6,7,8,22
FBgn0262951,0,0,2,0,0,0,2,0
FBgn0262952,516,351,1582,655,2121,1460,1691,2114
FBgn0262954,24,18,34,29,80,47,55,49
FBgn0262955,275,130,525,199,623,516,997,744
FBgn0262960,0,0,0,0,0,0,0,0
FBgn0262961,2,0,4,0,2,0,0,4
FBgn0262962,0,0,0,2,4,12,8,4
FBgn0262963,0,0,0,0,0,0,0,2
FBgn0262964,1,0,2,0,0,4,2,3
FBgn0262965,0,0,0,0,4,0,1,0
FBgn0262966,0,0,0,0,0,0,0,0
FBgn0262967,2,0,4,0,2,0,0,0
FBgn0262968,0,0,0,0,0,0,0,2
FBgn0262969,0,0,2,0,0,0,0,0
FBgn0262970,0,2,2,0,8,18,11,11
FBgn0262971,0,0,0,0,0,0,4,1
FBgn0262972,5,0,16,84,44,29,86,91
FBgn0262974,9,4,10,2,13,0,22,14
FBgn0262975,1973,1276,3661,1441,4487,3779,5599,4787
FBgn0262976,136,74,202,88,333,277,327,332
FBgn0262979,2,1,2,0,6,6,3,2
FBgn0262980,0,0,0,0,0,0,2,0
FBgn0262981,0,2,0,0,2,0,0,0
FBgn0262982,0,0,0,0,0,0,0,0
FBgn0262983,8,10,22,6,7,4,0,3
FBgn0262984,0,0,0,0,0,2,0,0
FBgn0262985,0,0,2,2,0,4,0,0
FBgn0262986,0,0,2,0,0,0,0,0
FBgn0262987,0,0,0,0,0,0,0,1
FBgn0262988,0,0,0,0,0,0,0,0
FBgn0262989,0,0,0,0,0,0,0,0
FBgn0262990,0,0,0,2,0,0,0,0
FBgn0262991,0,0,0,0,0,0,0,0
FBgn0262992,0,0,0,0,0,2,0,0
FBgn0262993,4,4,20,8,33,26,39,21
FBgn0262994,0,0,0,0,0,0,0,0
FBgn0262995,0,0,0,0,0,2,2,0
FBgn0262996,0,0,0,0,2,0,0,0
FBgn0262998,0,0,0,0,0,0,0,0
FBgn0262999,0,0,0,0,0,0,0,0
FBgn0263000,0,3,3,0,0,2,0,0
FBgn0263001,0,0,4,0,0,0,8,4
FBgn0263002,0,0,0,0,0,0,0,0
FBgn0263004,16,12,29,10,76,93,126,119
FBgn0263005,76,38,134,44,148,121,215,182
FBgn0263006,4112,2418,7326,3307,7855,5539,11493,9176
FBgn0263018,222,122,367,1375,306,339,449,257
FBgn0263019,189,48,148,109,423,255,379,384
FBgn0263020,0,0,0,0,0,0,0,6
FBgn0263021,0,0,0,0,0,0,0,0
FBgn0263022,2,0,0,0,0,1,0,0
FBgn0263023,0,0,0,0,0,0,0,2
FBgn0263024,0,0,0,0,0,0,0,4
FBgn0263025,24,14,23,12,44,45,61,65
FBgn0263026,0,0,7,0,0,2,2,3
FBgn0263027,8,7,30,11,36,21,48,30
FBgn0263029,52,22,110,90,141,124,179,211
FBgn0263030,0,0,0,0,0,0,0,0
FBgn0263031,0,0,0,0,0,0,0,0
FBgn0263032,0,0,0,0,0,0,0,0
FBgn0263033,0,0,0,0,0,0,0,0
FBgn0263034,14,13,36,18,103,92,107,98
FBgn0263035,18,4,29,12,78,76,145,104
FBgn0263036,41,18,47,18,131,138,213,145
FBgn0263037,0,0,0,0,0,0,0,0
FBgn0263038,0,4,10,2,4,0,12,9
FBgn0263040,0,0,0,0,2,0,0,0
FBgn0263041,0,0,4,0,0,0,0,0
FBgn0263042,4,0,10,0,6,14,21,5
FBgn0263046,0,0,0,0,0,0,0,0
FBgn0263047,15,10,23,10,10,11,32,32
FBgn0263048,50,27,114,49,111,137,196,168
FBgn0263049,44,21,61,16,136,38,114,121
FBgn0263050,0,0,0,0,0,0,0,0
FBgn0263051,0,0,0,0,0,0,0,0
FBgn0263072,1401,808,2673,1006,2736,2220,5222,4465
FBgn0263076,10,13,39,15,40,43,76,71
FBgn0263077,4439,2241,7292,3128,15205,10587,20945,17787
FBgn0263078,0,0,0,0,4,2,6,8
FBgn0263079,0,0,6,0,9,0,15,22
FBgn0263080,0,0,0,2,0,0,6,2
FBgn0263081,0,2,0,0,0,0,0,0
FBgn0263082,0,0,0,0,0,0,0,0
FBgn0263083,39,46,101,49,169,148,150,139
FBgn0263084,0,0,0,0,0,0,0,0
FBgn0263085,0,0,0,0,0,0,0,0
FBgn0263086,0,0,0,0,0,0,0,0
FBgn0263087,0,0,0,0,0,0,0,0
FBgn0263088,0,0,2,0,2,6,2,2
FBgn0263089,0,0,0,0,0,0,0,1
FBgn0263090,0,0,0,0,0,0,0,0
FBgn0263091,0,0,2,1,0,0,0,7
FBgn0263092,12,5,31,14,13,7,17,17
FBgn0263093,0,0,0,0,0,0,0,0
FBgn0263094,0,0,0,0,0,0,0,0
FBgn0263095,0,0,0,0,0,2,0,4
FBgn0263096,0,0,2,2,4,2,10,14
FBgn0263102,1642,917,3088,1374,3891,2855,5553,4908
FBgn0263106,1912,771,2819,1045,8669,7806,9716,8883
FBgn0263108,1033,648,2071,779,1900,1570,3088,2583
FBgn0263109,4,2,22,10,30,27,68,40
FBgn0263110,1175,702,2418,839,2056,1671,3629,2955
FBgn0263111,2380,1317,4656,1660,8233,5971,10784,9965
FBgn0263112,254,132,500,202,729,553,728,815
FBgn0263113,8,11,11,8,57,24,25,28
FBgn0263114,18,4,12,6,20,10,14,7
FBgn0263116,138,71,255,91,306,200,473,395
FBgn0263117,16,18,46,13,67,57,127,83
FBgn0263120,1986,1297,3536,1551,6478,4812,6818,5716
FBgn0263121,4,4,6,4,13,2,28,11
FBgn0263130,0,0,0,4,2,0,0,0
FBgn0263131,457,249,1078,407,1207,1024,2035,1700
FBgn0263132,116,73,142,48,213,149,233,223
FBgn0263133,81,32,135,45,187,112,305,207
FBgn0263143,3,0,7,0,2,5,11,11
FBgn0263144,552,327,1152,451,1096,941,1954,1440
FBgn0263197,1296,780,2756,898,2614,2082,4212,3538
FBgn0263198,612,273,1156,422,1165,889,1583,1478
FBgn0263199,296,286,808,295,1215,1586,1379,1109
FBgn0263200,224,162,289,124,634,609,501,452
FBgn0263201,0,0,0,0,0,0,0,2
FBgn0263206,4,0,2,0,5,2,0,4
FBgn0263207,0,0,0,0,0,0,0,0
FBgn0263208,0,0,0,0,0,0,0,0
FBgn0263209,0,0,0,0,0,0,0,0
FBgn0263210,0,0,0,0,0,0,0,0
FBgn0263211,0,0,0,0,0,0,0,2
FBgn0263212,0,0,0,0,0,0,0,0
FBgn0263213,0,0,0,0,0,0,0,0
FBgn0263214,0,0,0,0,0,0,0,0
FBgn0263215,0,0,0,0,0,0,0,0
FBgn0263216,10,0,2,2,2,6,8,4
FBgn0263217,2,0,0,0,0,0,0,0
FBgn0263219,1088,639,2208,797,2234,1744,3706,3058
FBgn0263220,2335,1226,3813,1709,4346,3423,6374,5785
FBgn0263231,827,474,1691,644,1916,1404,3051,2646
FBgn0263232,40,24,77,24,120,82,130,132
FBgn0263233,0,0,0,0,0,0,0,0
FBgn0263234,2,0,0,0,0,0,0,0
FBgn0263235,0,0,2,0,0,0,0,2
FBgn0263236,192,98,447,211,266,226,560,422
FBgn0263237,18,14,50,22,72,54,74,93
FBgn0263239,28,20,43,22,75,60,61,88
FBgn0263240,54,28,113,20,116,48,161,136
FBgn0263241,87,70,232,86,200,182,245,221
FBgn0263246,0,0,0,0,0,0,0,0
FBgn0263247,0,0,0,0,0,0,0,0
FBgn0263248,0,0,0,0,0,0,0,0
FBgn0263249,0,0,0,0,0,2,0,0
FBgn0263250,0,2,2,0,4,10,2,1
FBgn0263251,0,0,0,0,0,0,0,0
FBgn0263256,201,110,426,168,466,409,571,524
FBgn0263257,3647,2047,7454,2879,6358,4963,10656,8906
FBgn0263258,665,352,1134,357,1270,1088,2353,1974
FBgn0263260,31,31,51,28,128,73,89,76
FBgn0263270,6,6,16,2,26,22,63,35
FBgn0263271,0,0,0,0,0,0,0,0
FBgn0263278,116,41,170,46,183,169,256,216
FBgn0263289,4802,2472,8258,3098,8906,7066,14556,11474
FBgn0263290,12,8,15,12,22,22,34,30
FBgn0263314,0,0,0,0,0,0,0,0
FBgn0263316,228,161,365,196,632,381,782,652
FBgn0263320,0,0,0,0,0,0,0,0
FBgn0263321,18,7,31,18,23,14,6,12
FBgn0263322,0,0,0,0,0,0,0,0
FBgn0263323,0,1,0,0,0,0,0,1
FBgn0263324,0,0,0,0,0,2,0,0
FBgn0263325,6,4,22,6,14,18,28,23
FBgn0263326,0,0,0,0,2,0,0,2
FBgn0263327,9,0,9,5,17,13,27,28
FBgn0263328,0,0,0,0,0,0,0,0
FBgn0263329,2,2,8,3,4,8,14,8
FBgn0263330,4,12,22,4,18,34,32,38
FBgn0263331,0,0,0,0,0,0,0,0
FBgn0263332,3,0,9,2,12,6,13,11
FBgn0263333,0,0,0,2,0,0,0,0
FBgn0263334,0,0,2,0,2,0,0,4
FBgn0263335,0,0,2,0,0,0,0,0
FBgn0263336,16,14,55,14,38,28,46,35
FBgn0263337,0,0,0,0,2,2,0,0
FBgn0263338,7,4,33,8,28,20,46,31
FBgn0263339,0,0,2,2,9,0,16,6
FBgn0263340,0,0,0,0,0,0,0,1
FBgn0263341,0,0,0,0,2,0,0,2
FBgn0263342,0,0,0,0,0,0,0,0
FBgn0263343,1,5,8,2,6,8,2,0
FBgn0263344,0,0,0,0,0,0,0,0
FBgn0263345,2,1,4,2,4,6,10,6
FBgn0263346,1918,1195,3979,1397,4583,3607,6361,5560
FBgn0263351,148,50,413,162,314,225,568,430
FBgn0263352,1787,889,3677,1624,5181,4143,6465,6158
FBgn0263353,1058,541,2371,745,3098,2197,4793,4610
FBgn0263354,448,231,990,312,1236,977,1868,1569
FBgn0263355,432,280,811,385,925,847,1610,1457
FBgn0263376,6,5,10,5,14,7,17,9
FBgn0263377,0,0,0,0,0,0,0,0
FBgn0263378,0,0,0,0,0,0,0,0
FBgn0263379,2,2,12,2,12,4,20,23
FBgn0263380,4,2,8,0,2,0,0,0
FBgn0263381,0,4,6,4,5,0,8,4
FBgn0263382,0,0,0,0,0,2,0,0
FBgn0263383,0,0,0,0,0,0,0,0
FBgn0263384,0,0,0,0,0,0,2,0
FBgn0263385,6,4,14,4,12,10,20,16
FBgn0263386,0,0,0,0,0,0,0,0
FBgn0263387,0,0,0,0,0,0,0,0
FBgn0263388,0,0,0,0,4,0,0,0
FBgn0263389,0,0,0,0,0,2,4,0
FBgn0263390,153,84,237,127,308,201,380,319
FBgn0263391,996,547,2042,785,2423,1895,3414,3127
FBgn0263392,3020,1624,5326,1972,5831,4609,9224,7719
FBgn0263395,992,542,1814,617,2191,1731,3495,2940
FBgn0263396,1522,854,2557,1204,4191,3117,4152,3949
FBgn0263397,2101,1241,4788,1842,4945,3786,7840,6928
FBgn0263398,107,62,339,106,317,233,388,357
FBgn0263399,0,0,11,4,22,2,28,20
FBgn0263400,18,6,51,10,125,88,158,137
FBgn0263401,0,0,0,0,0,0,0,0
FBgn0263402,16,5,8,16,40,39,18,13
FBgn0263403,0,0,0,0,0,1,0,0
FBgn0263404,0,0,0,0,0,0,0,0
FBgn0263405,0,0,0,0,0,0,0,0
FBgn0263406,2,0,4,2,0,8,2,6
FBgn0263407,0,0,0,0,0,0,0,0
FBgn0263408,10,2,25,6,8,2,27,10
FBgn0263409,0,0,0,0,0,0,0,0
FBgn0263410,0,2,1,2,2,0,0,0
FBgn0263411,0,0,2,0,2,2,0,0
FBgn0263412,2,4,12,4,0,2,2,6
FBgn0263413,1221,729,2939,866,4297,2276,6017,5335
FBgn0263414,3,2,9,5,18,10,24,27
FBgn0263415,4,2,13,0,16,17,8,11
FBgn0263441,26,19,119,53,89,65,125,124
FBgn0263442,0,0,0,0,0,0,0,0
FBgn0263443,0,0,0,0,0,0,0,0
FBgn0263444,0,0,0,0,1,0,1,2
FBgn0263445,2,0,0,4,3,10,6,0
FBgn0263446,0,0,0,0,0,0,0,0
FBgn0263447,2,0,2,0,8,3,6,3
FBgn0263448,0,0,0,0,0,0,0,0
FBgn0263449,0,2,5,2,1,2,11,12
FBgn0263451,3,0,2,0,4,0,0,3
FBgn0263452,5,0,7,4,11,2,10,5
FBgn0263453,0,0,0,2,0,2,4,0
FBgn0263454,0,0,0,0,0,0,0,0
FBgn0263455,0,0,0,0,0,0,0,0
FBgn0263456,1824,1045,4080,1474,3351,2591,5911,5105
FBgn0263457,42,13,68,25,132,110,115,126
FBgn0263458,0,0,0,0,0,0,0,0
FBgn0263459,51,23,56,68,370,249,203,177
FBgn0263460,0,0,0,0,0,0,0,0
FBgn0263461,198,128,340,204,622,541,524,549
FBgn0263462,30,12,22,95,83,68,33,46
FBgn0263463,0,0,6,1,8,6,2,6
FBgn0263464,0,2,5,4,17,6,12,16
FBgn0263465,0,1,3,1,4,6,5,4
FBgn0263466,15,6,39,15,79,54,108,58
FBgn0263467,0,2,0,2,1,0,0,2
FBgn0263468,311,167,331,717,747,765,532,372
FBgn0263469,65,8,63,97,114,95,121,72
FBgn0263470,1007,683,1284,520,2988,2990,1598,1548
FBgn0263471,0,0,0,8,6,12,6,7
FBgn0263472,61,29,93,236,526,634,177,171
FBgn0263473,0,0,0,0,5,1,1,1
FBgn0263474,16,14,34,129,73,84,34,43
FBgn0263475,0,1,3,0,3,0,2,4
FBgn0263476,150,106,320,207,720,619,564,505
FBgn0263477,26,18,49,95,141,148,109,106
FBgn0263478,0,0,5,0,3,2,4,5
FBgn0263479,2,0,0,0,0,0,4,0
FBgn0263480,0,0,0,0,2,0,0,1
FBgn0263481,0,1,7,15,34,44,45,40
FBgn0263482,1,6,12,4,23,11,27,25
FBgn0263483,5,9,20,16,58,86,31,12
FBgn0263484,0,2,1,8,7,7,6,14
FBgn0263485,9,8,10,12,36,41,14,33
FBgn0263486,0,0,3,1,9,3,7,5
FBgn0263487,2,4,4,20,4,10,7,5
FBgn0263488,71,32,35,83,107,98,64,63
FBgn0263489,18,8,12,16,24,16,27,40
FBgn0263490,920,440,1571,613,1901,1331,2623,2279
FBgn0263492,0,0,0,0,10,4,10,7
FBgn0263493,0,0,0,0,0,1,0,0
FBgn0263494,0,0,1,0,0,2,1,0
FBgn0263495,0,0,4,0,0,0,0,0
FBgn0263496,0,0,0,0,0,2,2,2
FBgn0263497,0,0,0,0,0,2,4,2
FBgn0263498,0,0,2,0,0,0,1,0
FBgn0263499,20,6,28,6,19,14,45,40
FBgn0263500,0,0,0,0,0,0,0,0
FBgn0263501,0,0,2,0,0,0,0,0
FBgn0263502,0,0,0,0,0,0,0,0
FBgn0263503,2,0,6,1,2,2,6,4
FBgn0263504,29,20,61,27,181,154,170,191
FBgn0263505,0,0,2,2,18,8,16,8
FBgn0263506,6,2,9,2,18,15,25,14
FBgn0263507,20,14,50,26,87,70,137,139
FBgn0263509,0,0,0,0,0,0,0,0
FBgn0034722,160,92,400,161,467,403,747,590
FBgn0025878,97,51,256,102,128,95,276,274
FBgn0034723,328,257,664,279,641,480,1085,877
FBgn0034725,209,141,644,268,567,416,1108,908
FBgn0053200,13,9,31,10,30,27,56,53
FBgn0034726,18,8,36,9,49,18,63,54
FBgn0022985,189,106,463,196,493,417,763,590
FBgn0034728,68,37,201,52,265,173,270,292
FBgn0034730,2,0,2,0,0,4,0,0
FBgn0034731,256,168,705,267,705,544,1157,946
FBgn0034733,141,113,244,63,233,123,268,191
FBgn0034734,133,98,220,81,435,275,448,339
FBgn0034735,78,45,140,45,160,132,236,195
FBgn0034736,27,14,57,32,52,53,114,95
FBgn0034737,6,0,10,5,8,5,12,18
FBgn0003175,1651,949,2888,1031,3254,2201,4451,3700
FBgn0034729,0,4,9,0,14,6,6,8
FBgn0034727,70,22,92,52,149,100,185,155
FBgn0022986,159,55,255,126,434,237,465,377
FBgn0022984,156,78,354,144,418,343,577,518
FBgn0034724,120,74,176,90,350,212,314,251
FBgn0034720,1270,798,2906,1001,2602,2040,4753,3855
FBgn0017482,32,8,47,12,87,76,75,60
FBgn0034718,443,255,603,263,828,575,898,803
FBgn0034739,0,0,0,0,0,0,3,4
FBgn0034741,32,28,13,10,55,36,26,30
FBgn0034743,1096,643,1258,509,3139,2429,2511,2177
FBgn0034744,38,31,76,32,71,61,97,111
FBgn0053143,408,218,932,329,723,592,1251,1054
FBgn0026261,22,20,54,35,114,67,83,105
FBgn0034740,0,0,0,0,0,0,0,0
FBgn0034758,0,0,0,0,0,0,0,0
FBgn0034759,0,0,0,0,0,0,0,0
FBgn0034761,105,95,153,45,566,412,499,436
FBgn0050273,0,0,0,0,0,0,0,0
FBgn0050269,0,0,0,0,0,0,0,0
